capturador,forma,racimo,video,ruta_relativa
javo,180,99,VID_20230321_124609.mp4,javo/180/99/VID_20230321_124609/VID_20230321_124609.mp4
javo,180,99,VID_20230321_124619.mp4,javo/180/99/VID_20230321_124619/VID_20230321_124619.mp4
javo,180,99,VID_20230321_124631.mp4,javo/180/99/VID_20230321_124631/VID_20230321_124631.mp4
javo,180,99,VID_20230321_124644.mp4,javo/180/99/VID_20230321_124644/VID_20230321_124644.mp4
javo,180,99,VID_20230321_124654.mp4,javo/180/99/VID_20230321_124654/VID_20230321_124654.mp4
pablo,180,100,VID_20230321_124832.mp4,pablo/180/100/VID_20230321_124832/VID_20230321_124832.mp4
pablo,180,100,VID_20230321_124846.mp4,pablo/180/100/VID_20230321_124846/VID_20230321_124846.mp4
javo,vertical,99,VID_20230321_124914.mp4,javo/vertical/99/VID_20230321_124914/VID_20230321_124914.mp4
pablo,180,100,VID_20230321_124940.mp4,pablo/180/100/VID_20230321_124940/VID_20230321_124940.mp4
pablo,180,100,VID_20230321_124952.mp4,pablo/180/100/VID_20230321_124952/VID_20230321_124952.mp4
javo,vertical,99,VID_20230321_124953.mp4,javo/vertical/99/VID_20230321_124953/VID_20230321_124953.mp4
javo,vertical,99,VID_20230321_125003.mp4,javo/vertical/99/VID_20230321_125003/VID_20230321_125003.mp4
javo,vertical,99,VID_20230321_125234.mp4,javo/vertical/99/VID_20230321_125234/VID_20230321_125234.mp4
javo,vertical,99,VID_20230321_125252.mp4,javo/vertical/99/VID_20230321_125252/VID_20230321_125252.mp4
pablo,180,100,VID_20230321_125255.mp4,pablo/180/100/VID_20230321_125255/VID_20230321_125255.mp4
pablo,vertical,100,VID_20230321_125325.mp4,pablo/vertical/100/VID_20230321_125325/VID_20230321_125325.mp4
pablo,vertical,100,VID_20230321_125338.mp4,pablo/vertical/100/VID_20230321_125338/VID_20230321_125338.mp4
javo,freestyle,99,VID_20230321_125338.mp4,javo/freestyle/99/VID_20230321_125338/VID_20230321_125338.mp4
javo,freestyle,99,VID_20230321_125347.mp4,javo/freestyle/99/VID_20230321_125347/VID_20230321_125347.mp4
pablo,vertical,100,VID_20230321_125351.mp4,pablo/vertical/100/VID_20230321_125351/VID_20230321_125351.mp4
javo,freestyle,99,VID_20230321_125355.mp4,javo/freestyle/99/VID_20230321_125355/VID_20230321_125355.mp4
pablo,vertical,100,VID_20230321_125404.mp4,pablo/vertical/100/VID_20230321_125404/VID_20230321_125404.mp4
pablo,vertical,100,VID_20230321_125418.mp4,pablo/vertical/100/VID_20230321_125418/VID_20230321_125418.mp4
javo,freestyle,99,VID_20230321_125418.mp4,javo/freestyle/99/VID_20230321_125418/VID_20230321_125418.mp4
javo,freestyle,99,VID_20230321_125432.mp4,javo/freestyle/99/VID_20230321_125432/VID_20230321_125432.mp4
pablo,freestyle,100,VID_20230321_125540.mp4,pablo/freestyle/100/VID_20230321_125540/VID_20230321_125540.mp4
pablo,freestyle,100,VID_20230321_125548.mp4,pablo/freestyle/100/VID_20230321_125548/VID_20230321_125548.mp4
pablo,freestyle,100,VID_20230321_125557.mp4,pablo/freestyle/100/VID_20230321_125557/VID_20230321_125557.mp4
pablo,freestyle,100,VID_20230321_125607.mp4,pablo/freestyle/100/VID_20230321_125607/VID_20230321_125607.mp4
pablo,freestyle,100,VID_20230321_125615.mp4,pablo/freestyle/100/VID_20230321_125615/VID_20230321_125615.mp4
pablo,180,99,VID_20230321_125730.mp4,pablo/180/99/VID_20230321_125730/VID_20230321_125730.mp4
pablo,180,99,VID_20230321_125751.mp4,pablo/180/99/VID_20230321_125751/VID_20230321_125751.mp4
pablo,180,99,VID_20230321_125804.mp4,pablo/180/99/VID_20230321_125804/VID_20230321_125804.mp4
pablo,180,99,VID_20230321_125820.mp4,pablo/180/99/VID_20230321_125820/VID_20230321_125820.mp4
pablo,180,99,VID_20230321_125843.mp4,pablo/180/99/VID_20230321_125843/VID_20230321_125843.mp4
pablo,vertical,99,VID_20230321_125951.mp4,pablo/vertical/99/VID_20230321_125951/VID_20230321_125951.mp4
javo,180,100,VID_20230321_125953.mp4,javo/180/100/VID_20230321_125953/VID_20230321_125953.mp4
pablo,vertical,99,VID_20230321_130002.mp4,pablo/vertical/99/VID_20230321_130002/VID_20230321_130002.mp4
javo,180,100,VID_20230321_130004.mp4,javo/180/100/VID_20230321_130004/VID_20230321_130004.mp4
pablo,vertical,99,VID_20230321_130013.mp4,pablo/vertical/99/VID_20230321_130013/VID_20230321_130013.mp4
javo,180,100,VID_20230321_130015.mp4,javo/180/100/VID_20230321_130015/VID_20230321_130015.mp4
javo,180,100,VID_20230321_130025.mp4,javo/180/100/VID_20230321_130025/VID_20230321_130025.mp4
pablo,vertical,99,VID_20230321_130032.mp4,pablo/vertical/99/VID_20230321_130032/VID_20230321_130032.mp4
pablo,vertical,99,VID_20230321_130050.mp4,pablo/vertical/99/VID_20230321_130050/VID_20230321_130050.mp4
pablo,freestyle,99,VID_20230321_130155.mp4,pablo/freestyle/99/VID_20230321_130155/VID_20230321_130155.mp4
pablo,freestyle,99,VID_20230321_130204.mp4,pablo/freestyle/99/VID_20230321_130204/VID_20230321_130204.mp4
pablo,freestyle,99,VID_20230321_130215.mp4,pablo/freestyle/99/VID_20230321_130215/VID_20230321_130215.mp4
pablo,freestyle,99,VID_20230321_130223.mp4,pablo/freestyle/99/VID_20230321_130223/VID_20230321_130223.mp4
pablo,freestyle,99,VID_20230321_130258.mp4,pablo/freestyle/99/VID_20230321_130258/VID_20230321_130258.mp4
javo,vertical,100,VID_20230321_130447.mp4,javo/vertical/100/VID_20230321_130447/VID_20230321_130447.mp4
javo,vertical,100,VID_20230321_130504.mp4,javo/vertical/100/VID_20230321_130504/VID_20230321_130504.mp4
javo,vertical,100,VID_20230321_130513.mp4,javo/vertical/100/VID_20230321_130513/VID_20230321_130513.mp4
javo,vertical,100,VID_20230321_130523.mp4,javo/vertical/100/VID_20230321_130523/VID_20230321_130523.mp4
